取得時刻UTC,基軸資産照会,基軸資産アドレス,DEX,プールアドレス（pairAddress）,DEX Screener URL,ベースシンボル,ベース名称,ベースコントラクト,クオートシンボル,クオート名称,クオートコントラクト,流動性USD（API時点）,24時間出来高USD（API時点）,24時間買い件数（API時点）,24時間売り件数（API時点）,同一pairAddressで重複したAPI行数
2026-09-06T09:56:44.431941+00:00,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,uniswap,0x24107d152f14a76d292123265ae3f3c71f863fc2f4ef7ba49d64e78d28ea379e,https://dexscreener.com/robinhood/0x24107d152f14a76d292123265ae3f3c71f863fc2f4ef7ba49d64e78d28ea379e,USDG,Global Dollar,0x5fc5360d0400a0fd4f2af552add042d716f1d168,ETH,Ether,0x0000000000000000000000000000000000000000,831603.62,34905100.42,40704,48628,1
2026-09-06T09:56:44.836859+00:00,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,0x10253594A832f967994b44f33411940533302ACb,0x249c7cb82ace314617f333d9e365ad99e9a56eef,https://dexscreener.com/robinhood/0x249c7cb82ace314617f333d9e365ad99e9a56eef,WETH,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,USDG,Global Dollar,0x5fc5360d0400a0fd4f2af552add042d716f1d168,248.08,0.0,1,0,1
2026-09-06T09:56:44.431941+00:00,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,uniswap,0x251c1b779f3fa73fb6d319e32209b3320f8ac63e5b51b244fedbedb185a55582,https://dexscreener.com/robinhood/0x251c1b779f3fa73fb6d319e32209b3320f8ac63e5b51b244fedbedb185a55582,USDG,Global Dollar,0x5fc5360d0400a0fd4f2af552add042d716f1d168,ETH,Ether,0x0000000000000000000000000000000000000000,516343.26,1660330.28,302,328,1
2026-09-06T09:56:44.431941+00:00,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,uniswap,0x272ba860128a20a6246442a468848ab4b45f222df1d8e86c5140e063f631906e,https://dexscreener.com/robinhood/0x272ba860128a20a6246442a468848ab4b45f222df1d8e86c5140e063f631906e,USDG,Global Dollar,0x5fc5360d0400a0fd4f2af552add042d716f1d168,WETH,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,184555.31,62258.9,6,12,1
2026-09-06T09:56:45.284704+00:00,ネイティブETH,0x0000000000000000000000000000000000000000,uniswap,0x2993b198be37bd7f53c64dc1c13ebf1330c9d61e65a1abe058c3b4d7a2643016,https://dexscreener.com/robinhood/0x2993b198be37bd7f53c64dc1c13ebf1330c9d61e65a1abe058c3b4d7a2643016,PONSERS,Ponsers,0xb9e75a12de07c55c1496b36dcdac55764440b8c8,ETH,Ether,0x0000000000000000000000000000000000000000,44379.52,76742.96,769,542,1
2026-09-06T09:56:45.284704+00:00,ネイティブETH,0x0000000000000000000000000000000000000000,uniswap,0x2a5c52399e7858bf17560f410d16447a13da117f42ec504a84ca24a9176d15e7,https://dexscreener.com/robinhood/0x2a5c52399e7858bf17560f410d16447a13da117f42ec504a84ca24a9176d15e7,NEST,Nest,0x8e859dbdfbfd2df6a99870e2871eaa58e8784e05,ETH,Ether,0x0000000000000000000000000000000000000000,104296.88,2661944.47,6860,5867,1
2026-09-06T09:56:45.284704+00:00,ネイティブETH,0x0000000000000000000000000000000000000000,uniswap,0x2f99fc4916ee4b34df2bd31903a87624ddf1156a9ef6fdf063e66ea8b7a1aff7,https://dexscreener.com/robinhood/0x2f99fc4916ee4b34df2bd31903a87624ddf1156a9ef6fdf063e66ea8b7a1aff7,🅿️,Pushin' 🅿️,0x2ff153ba4591d1b134e1e2ef42fd897d2e686cc3,ETH,Ether,0x0000000000000000000000000000000000000000,5891.4,918606.31,6205,5688,1
2026-09-06T09:56:45.284704+00:00,ネイティブETH,0x0000000000000000000000000000000000000000,uniswap,0x31c5c3dd25a1b1203af847dbb0663aa94b7e217496265a07319d4407fbd504eb,https://dexscreener.com/robinhood/0x31c5c3dd25a1b1203af847dbb0663aa94b7e217496265a07319d4407fbd504eb,ZCAT,Anonymous Cat,0x352d33f364a78cc3d9c93335361af7d794e6758e,ETH,Ether,0x0000000000000000000000000000000000000000,11694.47,475210.53,2496,2425,1
2026-09-06T09:56:44.431941+00:00,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,uniswap,0x31e1a036ac0226799c7a8409b2cd22a4f5e52d96a4394ad77a6a3a07bdbc1436,https://dexscreener.com/robinhood/0x31e1a036ac0226799c7a8409b2cd22a4f5e52d96a4394ad77a6a3a07bdbc1436,USDG,Global Dollar,0x5fc5360d0400a0fd4f2af552add042d716f1d168,WETH,WETH,0x0bd7d308f8e1639fab988df18a8011f41eacad73,183608.97,3381.78,0,1,1
2026-09-06T09:56:44.431941+00:00,USDG,0x5fc5360d0400a0fd4f2af552add042d716f1d168,uniswap,0x3b0cbf0603ecc67b5fc9bb4fbb6ac9e08d3b2f406b63d1662a36063a7fe5e866,https://dexscreener.com/robinhood/0x3b0cbf0603ecc67b5fc9bb4fbb6ac9e08d3b2f406b63d1662a36063a7fe5e866,USDG,Global Dollar,0x5fc5360d0400a0fd4f2af552add042d716f1d168,ETH,Ether,0x0000000000000000000000000000000000000000,152510.73,14493455.37,33796,38609,1
